              Extracted                 Real                 Diag
86   2.815451-1.612641j   2.558421-1.316627j   2.558421-1.316627j
87   2.842507+2.707887j   2.559683+1.692567j   2.559663+1.692605j
88   2.870498+0.350274j   2.815451-1.612641j   2.815451-1.612641j
89   2.975653-1.629671j   2.842507+2.707887j   2.842507+2.707887j
90   3.147273+1.940258j   2.870498+0.350274j   2.870498+0.350274j
91   3.147478+1.940613j   2.975653-1.629671j   2.975653-1.629671j
92   3.267800-1.044891j   3.147273+1.940258j   3.147478+1.940613j
93   3.322334-2.054750j   3.267800-1.044891j   3.211222-1.095825j
94   3.416763+0.484843j   3.322334-2.054750j   3.322334-2.054750j
95   3.455003+1.280465j   3.416763+0.484843j   3.416763+0.484843j
96   3.582823-0.907753j   3.455003+1.280465j   3.455003+1.280465j
97   3.584846+0.040316j   3.582823-0.907753j   3.582823-0.907753j
98   3.584847+0.040316j   3.584846+0.040316j   3.584847+0.040316j
99 50.139472+49.686569j 50.139472+49.686569j 50.139472+49.686569j
